73,6,2.6369
76,5,1.7624
77,8,2.3364
73,13,1.7834
74,4,1.9462
67,4,2.2723
72,7,2.8762
82,4,4.0766
71,6,1.7709
72,8,2.4573
77,10,1.7824
76,4,2.6349
77,7,2.5329
71,7,2.0426
73,8,2.7317
71,5,2.5814
62,10,2.0567
72,9,2.1976
68,9,2.2271
70,4,4.0743
58,15,1.9194
58,3,2.0873
63,12,1.8445
69,2,1.9428
69,6,2.5685
57,7,1.8352
57,13,3.0483
65,10,1.864
62,10,3.9076
60,6,2.1709
57,10,2.1733
60,12,1.4835
67,8,2.2984
59,4,2.2623
67,6,2.3084
53,6,1.5422
70,9,2.082
60,13,1.9087
62,4,2.0566
67,9,2.2357
67,6,2.0011
57,22,1.265
67,10,2.1116
60,14,1.9404
60,5,2.2957
53,12,1.3123
60,7,1.7628
71,6,4.392
65,6,1.7079
63,5,1.9043
59,6,2.1245
66,6,2.5091
59,5,2.1831
68,8,2.0303
50,17,1.4068
60,19,2.1361
62,8,1.8519
57,8,1.2691
50,7,1.6688
58,11,1.7756
67,9,1.9974
71,6,2.4578
64,14,2.9727
61,7,2.3629
60,16,1.8347
59,8,1.6554
63,11,1.8227
70,11,2.3008
59,10,1.8681
53,13,1.6498
60,8,3.4912
65,10,2.1142
57,7,1.6451
52,13,1.7858
60,8,2.5366
66,9,2.2828
56,6,1.4939
65,13,2.292
61,9,1.9421
59,3,1.9839
62,12,2.4045
59,4,1.7277
63,5,1.8839
70,11,2.4968
73,4,2.5999
61,9,2.5496
57,9,1.3027
60,5,1.8582
64,12,1.9991
61,8,2.8553
61,8,2.228
56,7,2.4351
52,15,1.6965
60,8,3.0399
48,8,1.8613
54,5,1.7823
45,7,1.4919
50,4,1.8149
46,6,1.0929
56,11,1.4499
50,9,1.6145
47,8,2.0001
53,10,1.6335
47,11,1.5801
44,10,1.6988
52,6,3.0546
51,9,1.3102
50,18,1.7209
53,9,2.3786
58,9,2.3351
57,8,1.4877
52,7,1.6855
47,14,1.3557
46,10,1.3683
59,24,1.8952
52,9,3.1405
56,6,1.9019
58,17,1.7676
46,11,1.3987
53,10,1.5791
49,31,1.3777
52,21,1.8788
61,14,2.1503
58,5,2.3494
66,6,2.3848
59,5,1.6241
48,7,1.7917
56,7,2.4296
57,8,2.3801
60,7,1.9012
60,13,1.9977
60,7,1.9615
59,10,1.6721
55,6,3.1356
53,11,1.8128
65,6,4.4079
51,11,1.9568
61,11,1.8525
52,17,1.7487
60,3,1.9108
59,11,1.8572
58,10,1.5732
62,5,1.4245
58,7,3.3054
58,9,2.0896
53,11,1.5325
51,5,1.951
61,4,2.0909
59,6,1.661
55,10,1.8807
51,5,1.3433
61,10,3.5071
55,5,1.5356
58,7,1.7177
65,16,2.2618
57,7,1.6147
52,10,1.9254
56,7,1.8096
50,10,1.8341
55,19,1.5094
60,15,1.6011
66,8,2.1649
64,10,2.3594
51,8,1.6379
59,14,1.5051
59,10,2.0427
53,4,1.8792
62,11,1.8168
54,8,1.9719
61,23,1.7999
55,7,2.2579
58,11,1.5543
61,5,1.5703
54,10,1.905
60,6,2.1863
53,16,2.2695
54,6,1.7581
61,7,1.4883
53,11,1.7481
54,14,2.1385
62,8,1.2846
57,9,1.847
50,11,1.8746
57,6,1.6583
57,6,2.3785
49,7,1.5037
61,10,1.6087
60,10,3.1653
48,10,1.5632
56,13,1.5909
59,11,2.6578
63,9,1.8425
48,11,1.6481
64,7,2.0679
62,10,2.4956
57,16,1.6278
54,10,1.9191
55,10,1.8772
50,10,1.6792
59,4,1.352
59,8,2.1848
60,6,1.6966
56,2,1.8091
61,11,1.7006
57,10,1.5962
61,7,1.8636
59,2,1.5202
60,9,2.08
53,12,2.0895
58,3,2.2723
58,6,1.8145
57,16,2.1219
55,14,1.9126
48,19,1.9263
62,8,3.1078
62,6,2.305
50,13,1.8978
49,10,1.6067
56,14,1.8082
56,9,2.0028
61,16,2.0146
55,14,1.6649
68,4,2.3392
62,3,2.1319
67,5,2.1941
63,9,2.1974
58,6,1.9551
70,11,2.0404
72,8,5.1028
70,13,2.5711
76,3,2.19
74,11,2.3728
71,14,1.8163
71,13,1.851
79,8,2.9928
75,5,2.2387
76,8,2.7959
68,6,2.1837
71,7,2.0974
69,7,2.1306
76,7,2.607
67,9,2.2796
73,10,2.4746
71,7,2.2672
78,10,2.4347
74,5,2.4238
82,6,3.2101
69,8,2.7462
73,7,2.2162
